created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Mar 11 23:15:11 +0000 2023;1634694488609415168;"Konser Blackpink iki yo onok garai perkoro gawe wong ae... Garai macet, garai duit tabungan gripis eeh yo onok sing garai lanang wedok eker2an";0;0;1;0;in;82594667;1634694488609415168;d0n_yayak;https://twitter.com/d0n_yayak/status/1634694488609415168
Sat Mar 11 23:14:45 +0000 2023;1634694379431686144;"°•¤ Pink Tanktop Dress .•°¤*   IDR 150K only‼️  ☻ bisa nego tipis DM aja (harga blm termasuk ongkir)  #missfabulousthailand2023 #thrift #BLACKPINK tag Dress Tanktop Jakarta thrift jisoo rose jennie lisa blink wtb exo sehun suho lay kyungsoo chanyeol kai chen xiumin baekhyun https://t.co/6IkYmik9l5";0;0;0;0;in;1634488521103925248;1634694379431686144;powlypopsx;https://twitter.com/powlypopsx/status/1634694379431686144
Sat Mar 11 23:14:37 +0000 2023;1634694344744763394;"I SHOULD’VE GONE 😭😭😭  mana gua hari ini nganggur bangsat, harusnya hari ini gua nonton blackpink :((((( 😔☹️  HHHHHH ingin berkata kasar";0;0;0;0;in;1376828902211866625;1634694344744763394;5shn__;https://twitter.com/5shn__/status/1634694344744763394
Sat Mar 11 23:14:14 +0000 2023;1634694246153490433;"Kayaknya semua manusia di TL nonton Blackpink mantab, kangen juga nonton konser proper begitu.. twice boleh lah";0;0;0;0;in;53068035;1634694246153490433;pranamawada;https://twitter.com/pranamawada/status/1634694246153490433
Sat Mar 11 23:13:35 +0000 2023;1634694084928630784;"bukan fans blackpink, tau lagunya aja enggak.. tp liat story orang2 dan liat vibes konsernya ikutan happy..";0;0;0;0;in;81763138;1634694084928630784;ratiehchandra;https://twitter.com/ratiehchandra/status/1634694084928630784
Sat Mar 11 23:13:22 +0000 2023;1634694031543263233;"yg teasers for blackpink member solos: https://t.co/Qh2O3UXslw";0;2;2;5;en;1254597979945697280;1634694031543263233;yvesaphic;https://twitter.com/yvesaphic/status/1634694031543263233
Sat Mar 11 23:13:13 +0000 2023;1634693990489669634;"@pinkyeul1 @cxhts707 Emang harus Blink gitu yang bisa nonton konser Black Pink?";0;0;0;0;in;1491545975173021696;1634473252054761472;SpicyRainy;https://twitter.com/SpicyRainy/status/1634693990489669634
Sat Mar 11 23:13:02 +0000 2023;1634693944440389632;"salah satu contoh Paper Greeting Blackpink Day 1. #BlackpinkinJKT Day 2 masih bisa yuk ditunggu sekarang jugaaa https://t.co/XaiTjMHbCW https://t.co/JsUF8kkW0u";1;0;1;0;in;730932952813559812;1634693944440389632;koreangreetings;https://twitter.com/koreangreetings/status/1634693944440389632
Sat Mar 11 23:12:01 +0000 2023;1634693690697605120;"Mimpi makan diwarteg bareng trus nongrong sama blackpink😭 rose sama jennie baik bgtttt mau ngonten sama akuuu, ada park seo joon jg nemenin lisa😫";0;0;0;0;in;500595660;1634693690697605120;deaaprln;https://twitter.com/deaaprln/status/1634693690697605120
Sat Mar 11 23:10:14 +0000 2023;1634693242871767040;""eh terus itu ngapain mereka bawa kek palu gitu dah."  W NGAKAK langsung jawab biar gak bingung, "itu lightsticknya blackpink kak."  "Oohh."  "Aku bingung merchandise mulu isi pikiran."  "Eh kamutuh suka blackpink karena apa deh?"  "Hahahah karena apa ya? Enggak ada alasan sih."";0;0;0;0;in;1244747552878141442;1634689460691664896;nishimuraaul;https://twitter.com/nishimuraaul/status/1634693242871767040
Sat Mar 11 23:10:05 +0000 2023;1634693202207977472;"vip blackpink tuh kan seating yaaa? kok tiba2 jadi standing yaa? apa boleh seating dan boleh standing? (seriously asking karena bingung)";0;2;0;0;in;1344829177443221506;1634693202207977472;yunomenteng;https://twitter.com/yunomenteng/status/1634693202207977472
Sat Mar 11 23:10:04 +0000 2023;1634693199804633091;"Ada siiih iri sama yg nonton blackpink, tapi ku lebih iri liat story temen nonton HARRY STYLE 😭😭😭😭😭";0;0;0;0;in;59703785;1634693199804633091;fairuzsyaa;https://twitter.com/fairuzsyaa/status/1634693199804633091
Sat Mar 11 23:09:45 +0000 2023;1634693118846173184;"@Metro_TV @BLACKPINK sungguh sederhana dan sangat bersahaja personil Blackpink, mereka terciduk lagi jajan chiki ama ale-ale di warung madura....😱🤔 https://t.co/XUqCGWSiiJ";0;0;0;0;in;1145799054737022981;1634408016023011328;jimervian;https://twitter.com/jimervian/status/1634693118846173184
Sat Mar 11 23:09:18 +0000 2023;1634693008317882368;"@snowpurply done kak, THANK YOU SO MUCHH KAKKK. aku pengen banget nonton blackpink KSHSUZJZJSJHSUDHS WISH ME LUCK. semoga kakak sekeluarga selalu dilancarkan rezekinya dan selalu diberi kesehatan, dijauhkan dari hal hal buruk, aamiin💞 https://t.co/kGXL4CSKku";0;0;0;0;in;1524685223078014982;1634474606781431808;strawdumpy;https://twitter.com/strawdumpy/status/1634693008317882368
